# Glacier flow-speed data 
# 
# time  = time since beginning of the measurements (d)
# speed = measured ice flow speed (m/d)
# 
    time   speed 
5586.00   0.056 
5586.25   0.051 
5586.50   0.054 
5586.75   0.000 
5587.00   0.054 
5587.25   0.042 
5587.50   0.055 
5587.75   0.023 
5588.00   0.043 
5588.25   0.075 
5588.50   0.064 
5588.75   0.043 
5589.00   0.051 
5589.25   0.044 
5589.50   0.038 
5589.75   0.038 
5590.00   0.065 
5590.25   0.035 
5590.50   0.070 
5590.75   0.066 
5591.00   0.065 
5591.25   0.054 
5591.50   0.025 
5591.75   0.037 
5592.00   0.046 
5592.25   0.032 
5592.50   0.043 
5592.75   0.073 
5593.00   0.054 
5593.25   0.045 
5593.50   0.041 
5593.75   0.037 
5594.00   0.059 
5594.25   0.047 
5594.50   0.021 
5594.75   0.030 
5595.00   0.060 
5595.25   0.018 
5595.50   0.056 
5595.75   0.069 
5596.00   0.083 
5596.25   0.030 
5596.50   0.045 
5596.75   0.051 
5597.00   0.058 
5597.25   0.068 
5597.50   0.045 
5597.75   0.040 
5598.00   0.030 
5598.25   0.076 
5598.50   0.059 
5598.75   0.034 
5599.00   0.042 
5599.25   0.051 
5599.50   0.055 
5599.75   0.055 
5600.00   0.065 
5600.25   0.065 
5600.50   0.072 
5600.75   0.043 
5601.00   0.053 
5601.25   0.046 
5601.50   0.062 
5601.75   0.082 
5602.00   0.028 
5602.25   0.061 
5602.50   0.051 
5602.75   0.046 
5603.00   0.054 
5603.25   0.011 
5603.50   0.052 
5603.75   0.036 
5604.00   0.043 
5604.25   0.028 
5604.50   0.036 
5604.75   0.054 
5605.00   0.069 
5605.25   0.031 
5605.50   0.093 
5605.75   0.051 
5606.00   0.050 
5606.25   0.037 
5606.50   0.043 
5606.75   0.051 
5607.00   0.077 
5607.25   0.001 
5607.50   0.067 
5607.75   0.039 
5608.00   0.077 
5608.25   0.021 
5608.50   0.050 
5608.75   0.041 
5609.00   0.040 
5609.25   0.033 
5609.50   0.088 
5609.75   0.057 
5610.00   0.063 
5610.25   0.062 
5610.50   0.052 
5610.75   0.058 
5611.00   0.098 
5611.25   0.074 
5611.50   0.060 
5611.75   0.058 
5612.00   0.047 
5612.25   0.083 
5612.50   0.032 
5612.75   0.058 
5613.00   0.052 
5613.25   0.053 
5613.50   0.039 
5613.75   0.048 
5614.00   0.039 
5614.25   0.092 
5614.50   0.086 
5614.75   0.047 
5615.00   0.090 
5615.25   0.054 
5615.50   0.073 
5615.75   0.088 
5616.00   0.073 
5616.25   0.087 
5616.50   0.079 
5616.75   0.065 
5617.00   0.066 
5617.25   0.061 
5617.50   0.078 
5617.75   0.047 
5618.00   0.075 
5618.25   0.073 
5618.50   0.052 
5618.75   0.090 
5619.00   0.081 
5619.25   0.054 
5619.50   0.072 
5619.75   0.061 
5620.00   0.088 
5620.25   0.061 
5620.50   0.100 
5620.75   0.086 
5621.00   0.095 
5621.25   0.076 
5621.50   0.098 
5621.75   0.120 
5622.00   0.119 
5622.25   0.095 
5622.50   0.079 
5622.75   0.075 
5623.00   0.097 
5623.25   0.109 
5623.50   0.073 
5623.75   0.082 
5624.00   0.113 
5624.25   0.103 
5624.50   0.098 
5624.75   0.112 
5625.00   0.104 
5625.25   0.117 
5625.50   0.109 
5625.75   0.096 
5626.00   0.102 
5626.25   0.107 
5626.50   0.127 
5626.75   0.111 
5627.00   0.136 
5627.25   0.126 
5627.50   0.103 
5627.75   0.117 
5628.00   0.162 
5628.25   0.146 
5628.50   0.153 
5628.75   0.178 
5629.00   0.157 
5629.25   0.182 
5629.50   0.150 
5629.75   0.167 
5630.00   0.179 
5630.25   0.165 
5630.50   0.176 
5630.75   0.205 
5631.00   0.183 
5631.25   0.188 
5631.50   0.222 
5631.75   0.231 
5632.00   0.250 
5632.25   0.265 
5632.50   0.252 
5632.75   0.262 
5633.00   0.329 
5633.25   0.305 
5633.50   0.347 
5633.75   0.372 
5634.00   0.359 
5634.25   0.384 
5634.50   0.432 
5634.75   0.431 
5635.00   0.491 
5635.25   0.489 
5635.50   0.558 
5635.75   0.609 
5636.00   0.653 
